page,brand,product_name,specs_extracted,weight,set_size,finish,price,source_image,ocr_text
1,Decorbeats,11.5 inch thali set,1.4 kg weight; 5 pc set,1.4 kg weight,5 pc set,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_01.jpg,"11.5 inch thali set
1.4 kg weight
5 pc set"
2,Decorbeats,11.5 inch thali set,Etching Mat finish; 6 pc set; 1.6 kg weight,1.6 kg weight,6 pc set,Etching Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_02.jpg,"11.5 inch thali set
Etching Mat finish
6 pc set
1.6 kg weight"
3,Decorbeats,11.5inchthaliset,7pc set; 1.9kg weight; Mat finish,1.9kg weight,7pc set,Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_03.jpg,"11.5inchthaliset
7pc set
1.9kg weight
Mat finish"
4,Decorbeats,13inchthali set,8pc set; 2.2 kg weight; Mat finish,2.2 kg weight,8pc set,Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_04.jpg,"13inchthali set
8pc set
2.2 kg weight
Mat finish"
5,Decorbeats,11.5 inch thali set,8 pc set; 1.9 kg weight; Mat finish,1.9 kg weight,8 pc set,Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_05.jpg,"11.5 inch thali set
8 pc set
1.9 kg weight
Mat finish"
6,Decorbeats,11.5 inch thalis set,6pc set; 1.6 kg weight; Lazer mat fish,1.6 kg weight,6pc set,Lazer mat fish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_06.jpg,"11.5 inch thalis set
6pc set
1.6 kg weight
Lazer mat fish"
7,Decorbeats,10 inch thali set,6 pc set; 1.2 kg weight; Glossy finish,1.2 kg weight,6 pc set,Glossy finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_07.jpg,"10 inch thali set
6 pc set
1.2 kg weight
Glossy finish"
8,Decorbeats,11.5 inch thali set,1.6 kg weight; 6 pc set; Mat fishish,1.6 kg weight,6 pc set,Mat fishish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_08.jpg,"11.5 inch thali set
1.6 kg weight
6 pc set
Mat fishish"
9,Decorbeats,DIGITALWEIGHING SCALE,11.5 inch thali set; 7 pc set; 1.9 kg weight; Mat finish,1.9 kg weight,7 pc set,Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_09.jpg,"DIGITALWEIGHING SCALE
11.5 inch thali set
7 pc set
1.9 kg weight
Mat finish"
10,Decorbeats,13 inch thali set,6 pc set; 2 kg weight; Mat finish,2 kg weight,6 pc set,Mat finish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_10.jpg,"13 inch thali set
6 pc set
2 kg weight
Mat finish"
11,Decorbeats,11.5inchthali set,1.7kg weight; 6pc set; Handcrafted mat fish,1.7kg weight,6pc set,Handcrafted mat fish,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_11.jpg,"11.5inchthali set
1.7kg weight
6pc set
Handcrafted mat fish"
12,Decorbeats,KansaIceCreamCupW/Spoon,ApproxWeightCup-270gm,ApproxWeightCup-270gm,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_12.jpg,"KansaIceCreamCupW/Spoon
ApproxWeightCup-270gm"
13,Decorbeats,Product 13,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_13.jpg,
14,Decorbeats,Product 14,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_14.jpg,
15,Decorbeats,Product 15,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_15.jpg,
16,Decorbeats,Massage thali 16 inch,2.2 kg weight,2.2 kg weight,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_16.jpg,"Massage thali 16 inch
2.2 kg weight"
17,Decorbeats,Product 17,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_17.jpg,
18,Decorbeats,Product 18,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_18.jpg,
19,Decorbeats,Bronze wood Massager,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_19.jpg,Bronze wood Massager
20,Decorbeats,Product 20,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_20.jpg,
21,Decorbeats,Bronze Gua sha,,,,,,/Users/k0d3/Documents/Codex Testing/bronze_catalog_assets/page_21.jpg,Bronze Gua sha
